,chemical_formula_descriptive
189,Ag2AuCd2MgSc2
190,Ag2AuCd2Sc2Zn
191,Ag2AuGaLi2Zn2
192,Ag2AuGa2Li2Zn
193,Ag2Au2CdInSc2
194,Ag2Au2CdMgSc2
195,Ag2Au2Cd2ScY
196,Ag2Au2GaLi2Zn
197,Ag2Au2InLi2Zn
198,Ag2Au2Li2MgZn
199,Ag2Au2Li2SnZn
200,Ag2CdGaLi2Zn2
201,Ag2CdGeSeTe3
202,Ag2CdGeSe2Te2
203,Ag2CdGeSe2Te2
204,Ag2CdGeSe3Te
205,Ag2CdIn2LaLi2
206,Ag2CdIn2Li2Lu
207,Ag2CdIn2Li2Sc
208,Ag2CdIn2Li2Y
209,Ag2CdMg2Sc2Tl
210,Ag2CdSeSiTe3
211,Ag2CdSe2SiTe2
212,Ag2CdSe2SiTe2
213,Ag2CdSe2SnTe2
214,Ag2CdSe3SiTe
215,Ag2Cd2InLi2Zn
216,Ag2Cd2LiScZn2
217,Ag2Cd2MgSc2Zn
218,AlAuCeGaPt
219,AlAuCeGaPt
220,AlAuCeGaPt
221,AlAuCeGaPt
222,AlAuCePdSn
223,AlAuCePdSn
224,AlAuCePdSn
225,AlAuCePdSn
226,AlAuCePtSn
227,AlAuCePtSn
228,AlAuCePtSn
229,AlAuCePtSn
230,AlAuCuMg3Y3
231,AlAuGaNdPd
232,AlAuGaNdPd
233,AlAuGaNdPd
234,AlAuGaNdPd
235,AlAuGaPdPr
236,AlAuGaPdPr
237,AlAuGaPdPr
238,AlAuGaPdPr
239,AlAuGaPdSr
240,AlAuGaPdSr
241,AlAuGaPdSr
242,AlAuGaPdSr
243,AlAu2CdLi2Mg2
244,AlAu2CuEr3Zn2
245,AlAu2CuIn2Tm3
246,AlAu2CuTm3Zn2
247,AlAu2Cu2MgSc2
248,AlAu2GaLi2Mg2
249,AlAu2GaLi2Sc2
250,AlAu2InLi2Lu2
251,AlAu2InLi2Mg2
252,AlAu2InLi2Sc2
